1.41	0.266504	-0.91768	45.5665
1.42	0.257327	-0.920261	45.5708
1.43	0.248125	-0.922755	45.5751
1.44	0.238897	-0.925162	45.5794
1.45	0.229645	-0.927481	45.5838
1.46	0.220371	-0.929711	45.5881
1.47	0.211074	-0.931854	45.5925
1.48	0.201755	-0.933907	45.5969
1.49	0.192416	-0.935871	45.6013
1.5	0.183057	-0.937745	45.6057
1.51	0.17368	-0.939529	45.6101
1.52	0.164285	-0.941222	45.6145
1.53	0.154872	-0.942825	45.6189
1.54	0.145444	-0.944337	45.6233
1.55	0.136001	-0.945757	45.6277
1.56	0.126543	-0.947086	45.6322
1.57	0.117072	-0.948322	45.6366
1.58	0.107589	-0.949467	45.641
1.59	0.0980944	-0.950519	45.6455
1.6	0.0885892	-0.951479	45.6499
1.61	0.0790744	-0.952346	45.6544
1.62	0.0695509	-0.95312	45.6589
1.63	0.0600197	-0.953801	45.6633
1.64	0.0504817	-0.954389	45.6678
1.65	0.0409378	-0.954884	45.6723
1.66	0.031389	-0.955285	45.6767
1.67	0.0218361	-0.955592	45.6812
1.68	0.0122802	-0.955806	45.6857
1.69	0.00272213	-0.955927	45.6902
1.7	-0.00683714	-0.955953	45.6946
1.71	-0.0163967	-0.955886	45.6991
1.72	-0.0259555	-0.955726	45.7036
1.73	-0.0355128	-0.955471	45.7081
1.74	-0.0450675	-0.955123	45.7125
1.75	-0.0546187	-0.954682	45.717
1.76	-0.0641656	-0.954147	45.7215
1.77	-0.073707	-0.953519	45.726
1.78	-0.0832422	-0.952797	45.7304
1.79	-0.0927702	-0.951982	45.7349
1.8	-0.10229	-0.951074	45.7394
1.81	-0.111801	-0.950074	45.7438
1.82	-0.121301	-0.94898	45.7483
1.83	-0.130791	-0.947794	45.7527
1.84	-0.140269	-0.946516	45.7572
1.85	-0.149734	-0.945146	45.7616
1.86	-0.159186	-0.943684	45.766
1.87	-0.168623	-0.942131	45.7705
1.88	-0.178044	-0.940486	45.7749
1.89	-0.187449	-0.93875	45.7793
1.9	-0.196836	-0.936924	45.7837
1.91	-0.206206	-0.935008	45.7881
1.92	-0.215556	-0.933001	45.7925
1.93	-0.224886	-0.930905	45.7969
1.94	-0.234195	-0.92872	45.8013
1.95	-0.243482	-0.926445	45.8056
1.96	-0.252746	-0.924083	45.81
1.97	-0.261987	-0.921632	45.8143
1.98	-0.271204	-0.919094	45.8187
1.99	-0.280394	-0.916469	45.823
2	-0.289559	-0.913757	45.8273
2.01	-0.298697	-0.910958	45.8316
2.02	-0.307806	-0.908075	45.8359
2.03	-0.316887	-0.905105	45.8402
2.04	-0.325938	-0.902052	45.8445
2.05	-0.334959	-0.898914	45.8488
2.06	-0.343948	-0.895692	45.853
2.07	-0.352905	-0.892388	45.8572
2.08	-0.361829	-0.889	45.8615
2.09	-0.370719	-0.885531	45.8657
2.1	-0.379574	-0.881981	45.8699
2.11	-0.388394	-0.87835	45.8741
2.12	-0.397177	-0.874639	45.8783
2.13	-0.405924	-0.870848	45.8825
2.14	-0.414632	-0.866978	45.8866
2.15	-0.423302	-0.86303	45.8908
2.16	-0.431932	-0.859005	45.8949
2.17	-0.440522	-0.854902	45.899
2.18	-0.449071	-0.850723	45.9031
2.19	-0.457578	-0.846469	45.9072
2.2	-0.466043	-0.842139	45.9113
2.21	-0.474465	-0.837736	45.9154
2.22	-0.482842	-0.833258	45.9194
2.23	-0.491174	-0.828708	45.9235
2.24	-0.499462	-0.824086	45.9275
2.25	-0.507702	-0.819392	45.9315
2.26	-0.515896	-0.814628	45.9355
2.27	-0.524043	-0.809793	45.9395
2.28	-0.532141	-0.804889	45.9435
2.29	-0.540189	-0.799917	45.9475
2.3	-0.548189	-0.794877	45.9514
2.31	-0.556137	-0.78977	45.9554
2.32	-0.564035	-0.784596	45.9593
2.33	-0.571881	-0.779357	45.9632
2.34	-0.579675	-0.774053	45.9671
2.35	-0.587415	-0.768685	45.971
2.36	-0.595102	-0.763254	45.9749
2.37	-0.602735	-0.75776	45.9788
2.38	-0.610312	-0.752205	45.9826
2.39	-0.617834	-0.746588	45.9865
2.4	-0.6253	-0.740911	45.9903
2.41	-0.632709	-0.735175	45.9941
2.42	-0.640061	-0.72938	45.9979
