0.01	0.99951	-0.0979317	92.7058
0.0339613	0.994361	-0.331592	92.7136
0.0645803	0.97968	-0.62642	92.7348
0.0994618	0.952086	-0.953972	92.7712
0.137617	0.909073	-1.29774	92.8202
0.178553	0.848767	-1.64435	92.875
0.22203	0.769825	-1.98122	92.9259
0.267985	0.671375	-2.2957	92.962
0.316523	0.552942	-2.57463	92.9747
0.364327	0.424473	-2.79005	92.9619
0.409876	0.29383	-2.93638	92.9312
0.453053	0.165054	-3.01948	92.8918
0.493646	0.0417576	-3.04705	92.8508
0.526698	-0.0588112	-3.0331	92.8168
0.559887	-0.158793	-2.98648	92.7828
0.593307	-0.257363	-2.90712	92.7484
0.630295	-0.362706	-2.78257	92.7089
0.670209	-0.470403	-2.60691	92.6624
0.712731	-0.576494	-2.37589	92.6063
0.757734	-0.677073	-2.08674	92.539
0.805259	-0.76812	-1.738	92.462
0.85332	-0.842409	-1.34794	92.3849
0.899195	-0.895174	-0.948739	92.3213
0.942707	-0.927902	-0.553533	92.278
0.983666	-0.942807	-0.173482	92.2574
1.01745	-0.943347	0.141351	92.2566
1.05131	-0.933251	0.454277	92.27
1.08428	-0.913329	0.753129	92.2947
1.12092	-0.879805	1.07469	92.3319
1.16054	-0.830616	1.40516	92.3779
1.20278	-0.764238	1.73239	92.4259
1.24751	-0.679623	2.04447	92.4674
1.29475	-0.576138	2.32916	92.4945
1.34354	-0.456412	2.56868	92.5022
1.39016	-0.332433	2.74087	92.4927
1.43441	-0.208523	2.84998	92.4735
1.47618	-0.0882173	2.90265	92.4508
1.5151	0.0249896	2.90711	92.4287
1.55036	0.127001	2.87407	92.4091
1.58259	0.218739	2.81345	92.3913
1.61867	0.318527	2.71205	92.3706
1.65781	0.421909	2.56357	92.3453
1.69963	0.525059	2.36339	92.3129
1.74393	0.624273	2.10836	92.271
1.79071	0.715773	1.79667	92.2191
1.83963	0.79488	1.4315	92.161
1.88642	0.853093	1.05261	92.109
1.93087	0.891509	0.673464	92.07
1.97287	0.912075	0.304825	92.0478
2.01208	0.917215	-0.0427784	92.0422
2.04369	0.911446	-0.321743	92.0482
2.0754	0.896857	-0.597459	92.0626
2.11067	0.870493	-0.896003	92.0858
2.14914	0.82997	-1.20786	92.1155
2.19036	0.77365	-1.52107	92.1463
2.2341	0.700364	-1.82427	92.1708
2.28032	0.609365	-2.10599	92.1815
2.32915	0.500257	-2.35426	92.1722
2.3769	0.383117	-2.54284	92.1435
2.42239	0.264369	-2.66898	92.1022
2.46552	0.147589	-2.73819	92.0554
2.50607	0.0360171	-2.75756	92.0084
2.53903	-0.0546859	-2.74055	91.9699
2.57214	-0.144739	-2.69416	91.9317
2.60564	-0.23378	-2.61798	91.8935
2.64269	-0.32872	-2.50053	91.8511
2.68267	-0.425548	-2.33666	91.804
2.72527	-0.520668	-2.12264	91.7514
2.77037	-0.610528	-1.85608	91.6929
2.81802	-0.691476	-1.53578	91.6303
2.86584	-0.75657	-1.18149	91.5715
2.91147	-0.802311	-0.820278	91.525
2.95473	-0.830119	-0.463781	91.4946
2.9954	-0.842045	-0.122068	91.4813
3.02858	-0.841455	0.157461	91.4819
3.06189	-0.831568	0.435462	91.4924
3.09526	-0.812467	0.708287	91.5113
3.13221	-0.780864	1.00029	91.5393
3.17209	-0.734945	1.29923	91.5737
3.21458	-0.673377	1.59417	91.6098
3.25955	-0.595252	1.87431	91.642
3.30704	-0.500031	2.12855	91.6652
3.35546	-0.391675	2.33836	91.6761
3.40168	-0.279958	2.48788	91.6763
3.44551	-0.168686	2.58123	91.6705
3.4868	-0.0610504	2.62457	91.6624
3.52121	0.0294006	2.62719	91.6553
3.55565	0.119468	2.59941	91.6483
3.58813	0.203095	2.5457	91.6417
3.62438	0.293851	2.455	91.6336
3.66367	0.387786	2.32159	91.6226
3.70559	0.481473	2.14128	91.6067
3.74999	0.571577	1.91121	91.5841
3.79685	0.654688	1.62974	91.5543
3.84582	0.726549	1.29986	91.5196
3.89265	0.779491	0.957357	91.4878
3.93714	0.814504	0.614413	91.4637
3.97918	0.833341	0.280774	91.4498
4.01844	0.838186	-0.0340345	91.4462
4.04993	0.833148	-0.285528	91.4498
4.08156	0.820168	-0.534467	91.4583
4.11674	0.796593	-0.804205	91.4717
4.15514	0.760248	-1.08631	91.4883
4.19629	0.709634	-1.36994	91.5041
4.23997	0.643685	-1.6448	91.5138
4.28613	0.561714	-1.90056	91.5119
4.33488	0.463354	-2.12638	91.4941
